Resource|Type|File|http://purl.org/coscine/terms/sfb1394#TestingEnv|http://purl.org/coscine/terms/sfb1394#aliasID|http://purl.org/coscine/terms/sfb1394#anyDataSetToBeLinkedWithThisExperiment|http://purl.org/coscine/terms/sfb1394#counterElectrode|http://purl.org/coscine/terms/sfb1394#environmentalGas|http://purl.org/coscine/terms/sfb1394#irCompensation|http://purl.org/coscine/terms/sfb1394#measurementDateTime|http://purl.org/coscine/terms/sfb1394#operator|http://purl.org/coscine/terms/sfb1394#parentSampleId|http://purl.org/coscine/terms/sfb1394#potentialMeasurement|http://purl.org/coscine/terms/sfb1394#potentiostat|http://purl.org/coscine/terms/sfb1394#pre-treatment|http://purl.org/coscine/terms/sfb1394#referenceElectrodePotential|http://purl.org/coscine/terms/sfb1394#relativeHumidity|http://purl.org/coscine/terms/sfb1394#sampleArea|http://purl.org/coscine/terms/sfb1394#scanEnd|http://purl.org/coscine/terms/sfb1394#scanStart|http://purl.org/coscine/terms/sfb1394#scanVelocity|http://purl.org/coscine/terms/sfb1394#temperature|http://purl.org/coscine/terms/sfb1394#timeOcp|http://purl.org/dc/terms/created|http://purl.org/dc/terms/creator|http://purl.org/dc/terms/identifier|http://purl.org/dc/terms/isPartOf|http://purl.org/dc/terms/modified|http://purl.org/fdp/fdp-o#isMetadataOf|http://www.purl.org/net/CSMD/4.0#investigation_instrument|http://www.purl.org/net/CSMD/4.0#investigation_sample|http://www.w3.org/1999/02/22-rdf-syntax-ns#type|http://www.w3.org/ns/prov#generatedAtTime|http://www.w3.org/ns/prov#wasRevisionOfNode
025514F9-A2FA-4649-BFB1-EC92E8F18375|D0CE723A-EDF8-49F8-B2AC-34D7251CF104|https://hdl.handle.net/21.11102/025514f9-a2fa-4649-bfb1-ec92e8f18375@path=%2FPDP_S8_a%23P06-Pol1_pH8_14092021_%231.DTA|||OCP_S8_a#P06-Pol1_pH8||||2022-02-14||S8_a||||||||||||2022-02-14|Jakub Nowak|PDP_S8_a#P06-Pol1_pH8||||||||
025514F9-A2FA-4649-BFB1-EC92E8F18375|D0CE723A-EDF8-49F8-B2AC-34D7251CF104|https://hdl.handle.net/21.11102/025514f9-a2fa-4649-bfb1-ec92e8f18375@path=%2FPDP_S8_a%23P06-Pol1_pH8_14092021_%232.DTA|||OCP_S8_a#P06-Pol1_pH8||||2022-02-14||S8_a||||||||||||2022-02-14|Jakub Nowak|PDP_S8_a#P06-Pol1_pH8||||||||
025514F9-A2FA-4649-BFB1-EC92E8F18375|D0CE723A-EDF8-49F8-B2AC-34D7251CF104|https://hdl.handle.net/21.11102/025514f9-a2fa-4649-bfb1-ec92e8f18375@path=%2FPDP_S8_a%23P06-Pol1_pH8_14092021_%233.DTA|||OCP_S8_a#P06-Pol1_pH8||||2022-02-14||S8_a||||||||||||2022-02-14|Jakub Nowak|PDP_S8_a#P06-Pol1_pH8||||||||
025514F9-A2FA-4649-BFB1-EC92E8F18375|D0CE723A-EDF8-49F8-B2AC-34D7251CF104|https://hdl.handle.net/21.11102/025514f9-a2fa-4649-bfb1-ec92e8f18375@path=%2FPDP_S8_a%23P06-Pol1_pH8_14092021_%234.DTA|||OCP_S8_a#P06-Pol1_pH8||||2022-02-14||S8_a||||||||||||2022-02-14|Jakub Nowak|PDP_S8_a#P06-Pol1_pH8||||||||
025514F9-A2FA-4649-BFB1-EC92E8F18375|D0CE723A-EDF8-49F8-B2AC-34D7251CF104|https://hdl.handle.net/21.11102/025514f9-a2fa-4649-bfb1-ec92e8f18375@path=%2FPDP_S8_a%23P06-Pol1_pH8_14092021_%235.DTA|||OCP_S8_a#P06-Pol1_pH8||||2022-02-14||S8_a||||||||||||2022-02-14|Jakub Nowak|PDP_S8_a#P06-Pol1_pH8||||||||
025514F9-A2FA-4649-BFB1-EC92E8F18375|D0CE723A-EDF8-49F8-B2AC-34D7251CF104|https://purl.org/coscine/resources/025514f9-a2fa-4649-bfb1-ec92e8f18375/PDP_S8_a%23P06-Pol1_pH8_14092021_%231.DTA/@type=metadata&version=1672885408|||OCP_S8_a#P06-Pol1_pH8||||2022-02-14||S8_a||||||||||||2022-02-14|Jakub Nowak|PDP_S8_a#P06-Pol1_pH8|https://purl.org/coscine/resources/025514f9-a2fa-4649-bfb1-ec92e8f18375/PDP_S8_a%23P06-Pol1_pH8_14092021_%231.DTA|2023-01-05T02:23:28.856452Z|https://purl.org/coscine/resources/025514f9-a2fa-4649-bfb1-ec92e8f18375/PDP_S8_a%23P06-Pol1_pH8_14092021_%231.DTA/@type=data&version=1672705798|||http://www.w3.org/ns/ldp#RDFSource|2023-01-05T02:23:28.856431Z|https://purl.org/coscine/resources/025514f9-a2fa-4649-bfb1-ec92e8f18375/PDP_S8_a%23P06-Pol1_pH8_14092021_%231.DTA/@type=metadata&version=1672773221
025514F9-A2FA-4649-BFB1-EC92E8F18375|D0CE723A-EDF8-49F8-B2AC-34D7251CF104|https://purl.org/coscine/resources/025514f9-a2fa-4649-bfb1-ec92e8f18375/PDP_S8_a%23P06-Pol1_pH8_14092021_%232.DTA/@type=metadata&version=1672885408|||OCP_S8_a#P06-Pol1_pH8||||2022-02-14||S8_a||||||||||||2022-02-14|Jakub Nowak|PDP_S8_a#P06-Pol1_pH8|https://purl.org/coscine/resources/025514f9-a2fa-4649-bfb1-ec92e8f18375/PDP_S8_a%23P06-Pol1_pH8_14092021_%232.DTA|2023-01-05T02:23:29.363242Z|https://purl.org/coscine/resources/025514f9-a2fa-4649-bfb1-ec92e8f18375/PDP_S8_a%23P06-Pol1_pH8_14092021_%232.DTA/@type=data&version=1672705801|||http://www.w3.org/ns/ldp#RDFSource|2023-01-05T02:23:29.363221Z|https://purl.org/coscine/resources/025514f9-a2fa-4649-bfb1-ec92e8f18375/PDP_S8_a%23P06-Pol1_pH8_14092021_%232.DTA/@type=metadata&version=1672773222
025514F9-A2FA-4649-BFB1-EC92E8F18375|D0CE723A-EDF8-49F8-B2AC-34D7251CF104|https://purl.org/coscine/resources/025514f9-a2fa-4649-bfb1-ec92e8f18375/PDP_S8_a%23P06-Pol1_pH8_14092021_%233.DTA/@type=metadata&version=1672885409|||OCP_S8_a#P06-Pol1_pH8||||2022-02-14||S8_a||||||||||||2022-02-14|Jakub Nowak|PDP_S8_a#P06-Pol1_pH8|https://purl.org/coscine/resources/025514f9-a2fa-4649-bfb1-ec92e8f18375/PDP_S8_a%23P06-Pol1_pH8_14092021_%233.DTA|2023-01-05T02:23:29.850301Z|https://purl.org/coscine/resources/025514f9-a2fa-4649-bfb1-ec92e8f18375/PDP_S8_a%23P06-Pol1_pH8_14092021_%233.DTA/@type=data&version=1672705804|||http://www.w3.org/ns/ldp#RDFSource|2023-01-05T02:23:29.850279Z|https://purl.org/coscine/resources/025514f9-a2fa-4649-bfb1-ec92e8f18375/PDP_S8_a%23P06-Pol1_pH8_14092021_%233.DTA/@type=metadata&version=1672773222
025514F9-A2FA-4649-BFB1-EC92E8F18375|D0CE723A-EDF8-49F8-B2AC-34D7251CF104|https://purl.org/coscine/resources/025514f9-a2fa-4649-bfb1-ec92e8f18375/PDP_S8_a%23P06-Pol1_pH8_14092021_%234.DTA/@type=metadata&version=1672885409|||OCP_S8_a#P06-Pol1_pH8||||2022-02-14||S8_a||||||||||||2022-02-14|Jakub Nowak|PDP_S8_a#P06-Pol1_pH8|https://purl.org/coscine/resources/025514f9-a2fa-4649-bfb1-ec92e8f18375/PDP_S8_a%23P06-Pol1_pH8_14092021_%234.DTA|2023-01-05T02:23:30.344670Z|https://purl.org/coscine/resources/025514f9-a2fa-4649-bfb1-ec92e8f18375/PDP_S8_a%23P06-Pol1_pH8_14092021_%234.DTA/@type=data&version=1672705807|||http://www.w3.org/ns/ldp#RDFSource|2023-01-05T02:23:30.344646Z|https://purl.org/coscine/resources/025514f9-a2fa-4649-bfb1-ec92e8f18375/PDP_S8_a%23P06-Pol1_pH8_14092021_%234.DTA/@type=metadata&version=1672773223
025514F9-A2FA-4649-BFB1-EC92E8F18375|D0CE723A-EDF8-49F8-B2AC-34D7251CF104|https://purl.org/coscine/resources/025514f9-a2fa-4649-bfb1-ec92e8f18375/PDP_S8_a%23P06-Pol1_pH8_14092021_%235.DTA/@type=metadata&version=1672885410|||OCP_S8_a#P06-Pol1_pH8||||2022-02-14||S8_a||||||||||||2022-02-14|Jakub Nowak|PDP_S8_a#P06-Pol1_pH8|https://purl.org/coscine/resources/025514f9-a2fa-4649-bfb1-ec92e8f18375/PDP_S8_a%23P06-Pol1_pH8_14092021_%235.DTA|2023-01-05T02:23:30.833668Z|https://purl.org/coscine/resources/025514f9-a2fa-4649-bfb1-ec92e8f18375/PDP_S8_a%23P06-Pol1_pH8_14092021_%235.DTA/@type=data&version=1672705810|||http://www.w3.org/ns/ldp#RDFSource|2023-01-05T02:23:30.833647Z|https://purl.org/coscine/resources/025514f9-a2fa-4649-bfb1-ec92e8f18375/PDP_S8_a%23P06-Pol1_pH8_14092021_%235.DTA/@type=metadata&version=1672773223
