,Resource,Type,File,http://purl.org/coscine/terms/sfb1394#acquiredIons,http://purl.org/coscine/terms/sfb1394#annularMillingParameters,http://purl.org/coscine/terms/sfb1394#baseTemperature,http://purl.org/coscine/terms/sfb1394#detectionRate,http://purl.org/coscine/terms/sfb1394#laserPulseEnergy,http://purl.org/coscine/terms/sfb1394#lowVoltageCleaning,http://purl.org/coscine/terms/sfb1394#measurementDateTime,http://purl.org/coscine/terms/sfb1394#mode,http://purl.org/coscine/terms/sfb1394#operator,http://purl.org/coscine/terms/sfb1394#parentSampleId,http://purl.org/coscine/terms/sfb1394#pulseFrequency,http://purl.org/coscine/terms/sfb1394#runTime,http://purl.org/coscine/terms/sfb1394#shankAngle,http://purl.org/coscine/terms/sfb1394#specimenApexRadius,http://purl.org/coscine/terms/sfb1394#startVoltage,http://purl.org/coscine/terms/sfb1394#stopVoltage,http://purl.org/dc/terms/created,http://purl.org/dc/terms/creator,http://purl.org/dc/terms/identifier,http://www.purl.org/net/CSMD/4.0#investigation_instrument,http://www.purl.org/net/CSMD/4.0#investigation_sample
0,0406B5CC-68AF-4247-A4CD-37C84BA63D0C,rds,https://purl.org/coscine/resources/0406b5cc-68af-4247-a4cd-37c84ba63d0c/R68_06307-v01-clip300-400nm_20x20nm_Al-iso5%25.BMP/@type=metadata&version=1672831955,25.7,0.79 nA / 1.5 μm0.43 nA / 0.75 μm0.23 nA / 0.5 μm80 pA / 0.3 μm40 pA / 0.1 μm,30.0,0.5,60.0,5 kV / 20 s,2021-07-02,Laser,Marcus Hans,"Thin film sample e117_P16 (Philipp Keuter), Mg-Al-Ca, 100°C (2020-09-02)",125.0,736,9,10,1.2,4.1,2020-11-17,Marcus Hans,R68_06307-v02,LEAP4000XHR_5068,201117_C153_Marcus40:M-2
1,0406B5CC-68AF-4247-A4CD-37C84BA63D0C,rds,https://purl.org/coscine/resources/0406b5cc-68af-4247-a4cd-37c84ba63d0c/R68_06307-v01-clip300-400nm_20x20nm_Al.BMP/@type=metadata&version=1672831956,25.7,0.79 nA / 1.5 μm0.43 nA / 0.75 μm0.23 nA / 0.5 μm80 pA / 0.3 μm40 pA / 0.1 μm,30.0,0.5,60.0,5 kV / 20 s,2021-07-02,Laser,Marcus Hans,"Thin film sample e117_P16 (Philipp Keuter), Mg-Al-Ca, 100°C (2020-09-02)",125.0,736,9,10,1.2,4.1,2020-11-17,Marcus Hans,R68_06307-v02,LEAP4000XHR_5068,201117_C153_Marcus40:M-2
2,0406B5CC-68AF-4247-A4CD-37C84BA63D0C,rds,https://purl.org/coscine/resources/0406b5cc-68af-4247-a4cd-37c84ba63d0c/R68_06307-v01-clip300-400nm_20x20nm_AlH.BMP/@type=metadata&version=1672831956,25.7,0.79 nA / 1.5 μm0.43 nA / 0.75 μm0.23 nA / 0.5 μm80 pA / 0.3 μm40 pA / 0.1 μm,30.0,0.5,60.0,5 kV / 20 s,2021-07-02,Laser,Marcus Hans,"Thin film sample e117_P16 (Philipp Keuter), Mg-Al-Ca, 100°C (2020-09-02)",125.0,736,9,10,1.2,4.1,2020-11-17,Marcus Hans,R68_06307-v02,LEAP4000XHR_5068,201117_C153_Marcus40:M-2
3,0406B5CC-68AF-4247-A4CD-37C84BA63D0C,rds,https://purl.org/coscine/resources/0406b5cc-68af-4247-a4cd-37c84ba63d0c/R68_06307-v01-clip300-400nm_20x20nm_BulkComp.csv/@type=metadata&version=1672831957,25.7,0.79 nA / 1.5 μm0.43 nA / 0.75 μm0.23 nA / 0.5 μm80 pA / 0.3 μm40 pA / 0.1 μm,30.0,0.5,60.0,5 kV / 20 s,2021-07-02,Laser,Marcus Hans,"Thin film sample e117_P16 (Philipp Keuter), Mg-Al-Ca, 100°C (2020-09-02)",125.0,736,9,10,1.2,4.1,2020-11-17,Marcus Hans,R68_06307-v02,LEAP4000XHR_5068,201117_C153_Marcus40:M-2
4,0406B5CC-68AF-4247-A4CD-37C84BA63D0C,rds,https://purl.org/coscine/resources/0406b5cc-68af-4247-a4cd-37c84ba63d0c/R68_06307-v01-clip300-400nm_20x20nm_Ca-iso5%25.BMP/@type=metadata&version=1672831957,25.7,0.79 nA / 1.5 μm0.43 nA / 0.75 μm0.23 nA / 0.5 μm80 pA / 0.3 μm40 pA / 0.1 μm,30.0,0.5,60.0,5 kV / 20 s,2021-07-02,Laser,Marcus Hans,"Thin film sample e117_P16 (Philipp Keuter), Mg-Al-Ca, 100°C (2020-09-02)",125.0,736,9,10,1.2,4.1,2020-11-17,Marcus Hans,R68_06307-v02,LEAP4000XHR_5068,201117_C153_Marcus40:M-2
5,0406B5CC-68AF-4247-A4CD-37C84BA63D0C,rds,https://purl.org/coscine/resources/0406b5cc-68af-4247-a4cd-37c84ba63d0c/R68_06307-v01-clip300-400nm_20x20nm_Ca.BMP/@type=metadata&version=1672831958,25.7,0.79 nA / 1.5 μm0.43 nA / 0.75 μm0.23 nA / 0.5 μm80 pA / 0.3 μm40 pA / 0.1 μm,30.0,0.5,60.0,5 kV / 20 s,2021-07-02,Laser,Marcus Hans,"Thin film sample e117_P16 (Philipp Keuter), Mg-Al-Ca, 100°C (2020-09-02)",125.0,736,9,10,1.2,4.1,2020-11-17,Marcus Hans,R68_06307-v02,LEAP4000XHR_5068,201117_C153_Marcus40:M-2
6,0406B5CC-68AF-4247-A4CD-37C84BA63D0C,rds,https://purl.org/coscine/resources/0406b5cc-68af-4247-a4cd-37c84ba63d0c/R68_06307-v01-clip300-400nm_20x20nm_CaH.BMP/@type=metadata&version=1672831958,25.7,0.79 nA / 1.5 μm0.43 nA / 0.75 μm0.23 nA / 0.5 μm80 pA / 0.3 μm40 pA / 0.1 μm,30.0,0.5,60.0,5 kV / 20 s,2021-07-02,Laser,Marcus Hans,"Thin film sample e117_P16 (Philipp Keuter), Mg-Al-Ca, 100°C (2020-09-02)",125.0,736,9,10,1.2,4.1,2020-11-17,Marcus Hans,R68_06307-v02,LEAP4000XHR_5068,201117_C153_Marcus40:M-2
7,0406B5CC-68AF-4247-A4CD-37C84BA63D0C,rds,https://purl.org/coscine/resources/0406b5cc-68af-4247-a4cd-37c84ba63d0c/R68_06307-v01-clip300-400nm_20x20nm_Ga.BMP/@type=metadata&version=1672831959,25.7,0.79 nA / 1.5 μm0.43 nA / 0.75 μm0.23 nA / 0.5 μm80 pA / 0.3 μm40 pA / 0.1 μm,30.0,0.5,60.0,5 kV / 20 s,2021-07-02,Laser,Marcus Hans,"Thin film sample e117_P16 (Philipp Keuter), Mg-Al-Ca, 100°C (2020-09-02)",125.0,736,9,10,1.2,4.1,2020-11-17,Marcus Hans,R68_06307-v02,LEAP4000XHR_5068,201117_C153_Marcus40:M-2
8,0406B5CC-68AF-4247-A4CD-37C84BA63D0C,rds,https://purl.org/coscine/resources/0406b5cc-68af-4247-a4cd-37c84ba63d0c/R68_06307-v01-clip300-400nm_20x20nm_MassSpec.csv/@type=metadata&version=1672831959,25.7,0.79 nA / 1.5 μm0.43 nA / 0.75 μm0.23 nA / 0.5 μm80 pA / 0.3 μm40 pA / 0.1 μm,30.0,0.5,60.0,5 kV / 20 s,2021-07-02,Laser,Marcus Hans,"Thin film sample e117_P16 (Philipp Keuter), Mg-Al-Ca, 100°C (2020-09-02)",125.0,736,9,10,1.2,4.1,2020-11-17,Marcus Hans,R68_06307-v02,LEAP4000XHR_5068,201117_C153_Marcus40:M-2
9,0406B5CC-68AF-4247-A4CD-37C84BA63D0C,rds,https://purl.org/coscine/resources/0406b5cc-68af-4247-a4cd-37c84ba63d0c/R68_06307-v01-clip300-400nm_20x20nm_Mg200k.BMP/@type=metadata&version=1672831960,25.7,0.79 nA / 1.5 μm0.43 nA / 0.75 μm0.23 nA / 0.5 μm80 pA / 0.3 μm40 pA / 0.1 μm,30.0,0.5,60.0,5 kV / 20 s,2021-07-02,Laser,Marcus Hans,"Thin film sample e117_P16 (Philipp Keuter), Mg-Al-Ca, 100°C (2020-09-02)",125.0,736,9,10,1.2,4.1,2020-11-17,Marcus Hans,R68_06307-v02,LEAP4000XHR_5068,201117_C153_Marcus40:M-2
