,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
0,5,3,1,5,2,3,1,3,1,4,1,3,3,1,4,1,1,2,4,3,1,1,1,1,1,1
1,4,5,1,3,2,3,2,2,1,4,2,4,4,1,4,2,1,3,4,3,1,1,1,1,1,2
2,1,1,5,1,1,2,1,3,3,1,2,1,2,4,1,3,3,2,1,2,3,3,1,4,3,1
3,5,3,1,5,1,3,1,3,1,4,1,2,3,1,4,1,1,2,4,3,1,1,1,2,1,1
4,2,2,1,1,5,3,3,2,1,2,3,2,2,1,1,3,2,2,2,3,1,1,3,1,1,4
5,3,3,1,3,3,5,2,2,1,3,2,2,4,1,3,2,2,2,3,4,1,1,1,1,1,2
6,1,2,1,1,3,3,5,1,1,2,3,2,2,1,1,2,1,2,2,2,1,1,2,1,1,3
7,2,1,3,3,2,2,1,5,3,2,2,1,2,3,2,3,4,2,2,2,3,3,1,3,3,1
8,1,1,4,1,2,2,1,3,5,1,2,1,1,5,1,4,5,2,1,2,5,5,2,4,5,2
9,4,4,1,4,2,4,2,3,1,5,2,3,4,1,5,1,1,2,5,3,1,1,1,2,1,1
10,1,1,1,1,3,2,2,2,1,1,5,1,1,1,1,3,2,4,1,3,1,1,3,1,1,3
11,3,4,1,3,2,3,3,2,1,3,2,5,3,1,3,2,1,2,3,2,1,1,1,1,1,2
12,3,3,1,3,1,4,1,3,1,4,2,2,5,1,4,1,1,2,4,4,1,1,1,1,1,1
13,1,1,4,2,1,2,1,4,5,1,2,1,1,5,1,4,5,2,1,2,5,5,2,4,5,2
14,4,4,1,4,2,3,1,3,1,5,2,3,4,1,5,1,1,2,5,3,1,1,1,2,1,1
15,1,1,2,1,3,2,2,3,3,1,3,1,1,3,1,5,4,2,1,2,3,3,3,2,3,3
16,1,1,3,1,2,2,1,4,4,1,2,1,2,5,1,4,5,2,1,2,4,4,2,3,4,2
17,2,2,1,1,2,2,2,2,1,2,4,2,2,1,2,2,1,5,2,3,1,1,2,1,1,2
18,4,4,1,4,2,4,2,3,1,5,2,3,4,1,5,1,1,2,5,3,1,1,1,2,1,1
19,2,2,1,2,2,4,1,2,1,3,3,1,3,1,3,2,2,2,3,5,1,1,1,1,1,2
20,1,1,4,1,2,2,1,3,5,1,2,1,1,5,1,4,5,2,1,2,5,5,2,4,5,2
21,1,1,4,1,2,2,1,3,5,1,2,1,1,5,1,4,5,2,1,2,5,5,2,4,5,2
22,1,1,1,1,3,2,2,2,2,1,3,1,1,1,1,3,2,2,1,2,2,2,5,1,2,3
23,2,1,4,2,1,2,1,4,3,2,1,1,2,4,2,3,3,1,2,2,3,3,1,5,3,1
24,1,1,4,1,2,2,1,3,5,1,2,1,1,5,1,4,5,2,1,2,5,5,2,4,5,2
25,1,1,1,1,4,2,3,2,1,1,3,2,1,1,1,3,2,2,1,2,1,1,3,1,1,5
