Resource|Type|File|http://purl.org/coscine/terms/sfb1394#acquiredIons|http://purl.org/coscine/terms/sfb1394#affiliation|http://purl.org/coscine/terms/sfb1394#aliasID|http://purl.org/coscine/terms/sfb1394#annularMillingParameters|http://purl.org/coscine/terms/sfb1394#baseTemperature|http://purl.org/coscine/terms/sfb1394#comments|http://purl.org/coscine/terms/sfb1394#detectionRate|http://purl.org/coscine/terms/sfb1394#laserPulseEnergy|http://purl.org/coscine/terms/sfb1394#lift-outRegion|http://purl.org/coscine/terms/sfb1394#lowVoltageCleaning|http://purl.org/coscine/terms/sfb1394#measurementDateTime|http://purl.org/coscine/terms/sfb1394#mode|http://purl.org/coscine/terms/sfb1394#operator|http://purl.org/coscine/terms/sfb1394#parentSampleId|http://purl.org/coscine/terms/sfb1394#pre-treatment|http://purl.org/coscine/terms/sfb1394#pulseFrequency|http://purl.org/coscine/terms/sfb1394#runTime|http://purl.org/coscine/terms/sfb1394#shankAngle|http://purl.org/coscine/terms/sfb1394#specimenApexRadius|http://purl.org/coscine/terms/sfb1394#startVoltage|http://purl.org/coscine/terms/sfb1394#stopVoltage|http://purl.org/dc/terms/created|http://purl.org/dc/terms/creator|http://purl.org/dc/terms/identifier|http://purl.org/dc/terms/isPartOf|http://purl.org/dc/terms/isReferencedBy|http://purl.org/dc/terms/modified|http://purl.org/dc/terms/title|http://purl.org/fdp/fdp-o#isMetadataOf|http://www.purl.org/net/CSMD/4.0#investigation_instrument|http://www.purl.org/net/CSMD/4.0#investigation_sample|http://www.w3.org/1999/02/22-rdf-syntax-ns#type|http://www.w3.org/ns/prov#generatedAtTime|http://www.w3.org/ns/prov#wasRevisionOfNode
0406B5CC-68AF-4247-A4CD-37C84BA63D0C|RDS|https://purl.org/coscine/resources/0406b5cc-68af-4247-a4cd-37c84ba63d0c/R68_06307-v01-clip300-400nm_20x20nm_Al-iso5%25.BMP/@type=metadata&version=1672831955|25.7|||0.79 nA / 1.5 μm0.43 nA / 0.75 μm0.23 nA / 0.5 μm80 pA / 0.3 μm40 pA / 0.1 μm|30||0.5|60|Surface lift-out from 10x10 mm sample in the center10x2x0.35 μm Pt protection layer14x4x4 μm Trench Milling (2x)|5 kV / 20 s|2021-07-02|Laser|Marcus Hans|Thin film sample e117_P16 (Philipp Keuter), Mg-Al-Ca, 100°C (2020-09-02)||125|736|9|10|1.2|4.1|2020-11-17|Marcus Hans|R68_06307-v02|||||https://purl.org/coscine/resources/0406b5cc-68af-4247-a4cd-37c84ba63d0c/R68_06307-v01-clip300-400nm_20x20nm_Al-iso5%25.BMP/@type=data&version=1672637315|LEAP4000XHR_5068|201117_C153_Marcus40:M-2|http://www.w3.org/ns/prov#Entity|2023-01-04T11:32:36.225770Z|https://purl.org/coscine/resources/0406b5cc-68af-4247-a4cd-37c84ba63d0c/R68_06307-v01-clip300-400nm_20x20nm_Al-iso5%25.BMP/@type=metadata&version=1672745157
0406B5CC-68AF-4247-A4CD-37C84BA63D0C|RDS|https://purl.org/coscine/resources/0406b5cc-68af-4247-a4cd-37c84ba63d0c/R68_06307-v01-clip300-400nm_20x20nm_Al.BMP/@type=metadata&version=1672831956|25.7|||0.79 nA / 1.5 μm0.43 nA / 0.75 μm0.23 nA / 0.5 μm80 pA / 0.3 μm40 pA / 0.1 μm|30||0.5|60|Surface lift-out from 10x10 mm sample in the center10x2x0.35 μm Pt protection layer14x4x4 μm Trench Milling (2x)|5 kV / 20 s|2021-07-02|Laser|Marcus Hans|Thin film sample e117_P16 (Philipp Keuter), Mg-Al-Ca, 100°C (2020-09-02)||125|736|9|10|1.2|4.1|2020-11-17|Marcus Hans|R68_06307-v02|||||https://purl.org/coscine/resources/0406b5cc-68af-4247-a4cd-37c84ba63d0c/R68_06307-v01-clip300-400nm_20x20nm_Al.BMP/@type=data&version=1672637315|LEAP4000XHR_5068|201117_C153_Marcus40:M-2|http://www.w3.org/ns/prov#Entity|2023-01-04T11:32:36.731946Z|https://purl.org/coscine/resources/0406b5cc-68af-4247-a4cd-37c84ba63d0c/R68_06307-v01-clip300-400nm_20x20nm_Al.BMP/@type=metadata&version=1672745158
0406B5CC-68AF-4247-A4CD-37C84BA63D0C|RDS|https://purl.org/coscine/resources/0406b5cc-68af-4247-a4cd-37c84ba63d0c/R68_06307-v01-clip300-400nm_20x20nm_AlH.BMP/@type=metadata&version=1672831956|25.7|||0.79 nA / 1.5 μm0.43 nA / 0.75 μm0.23 nA / 0.5 μm80 pA / 0.3 μm40 pA / 0.1 μm|30||0.5|60|Surface lift-out from 10x10 mm sample in the center10x2x0.35 μm Pt protection layer14x4x4 μm Trench Milling (2x)|5 kV / 20 s|2021-07-02|Laser|Marcus Hans|Thin film sample e117_P16 (Philipp Keuter), Mg-Al-Ca, 100°C (2020-09-02)||125|736|9|10|1.2|4.1|2020-11-17|Marcus Hans|R68_06307-v02|||||https://purl.org/coscine/resources/0406b5cc-68af-4247-a4cd-37c84ba63d0c/R68_06307-v01-clip300-400nm_20x20nm_AlH.BMP/@type=data&version=1672637315|LEAP4000XHR_5068|201117_C153_Marcus40:M-2|http://www.w3.org/ns/prov#Entity|2023-01-04T11:32:37.216459Z|https://purl.org/coscine/resources/0406b5cc-68af-4247-a4cd-37c84ba63d0c/R68_06307-v01-clip300-400nm_20x20nm_AlH.BMP/@type=metadata&version=1672745158
0406B5CC-68AF-4247-A4CD-37C84BA63D0C|RDS|https://purl.org/coscine/resources/0406b5cc-68af-4247-a4cd-37c84ba63d0c/R68_06307-v01-clip300-400nm_20x20nm_BulkComp.csv/@type=metadata&version=1672831957|25.7|||0.79 nA / 1.5 μm0.43 nA / 0.75 μm0.23 nA / 0.5 μm80 pA / 0.3 μm40 pA / 0.1 μm|30||0.5|60|Surface lift-out from 10x10 mm sample in the center10x2x0.35 μm Pt protection layer14x4x4 μm Trench Milling (2x)|5 kV / 20 s|2021-07-02|Laser|Marcus Hans|Thin film sample e117_P16 (Philipp Keuter), Mg-Al-Ca, 100°C (2020-09-02)||125|736|9|10|1.2|4.1|2020-11-17|Marcus Hans|R68_06307-v02|||||https://purl.org/coscine/resources/0406b5cc-68af-4247-a4cd-37c84ba63d0c/R68_06307-v01-clip300-400nm_20x20nm_BulkComp.csv/@type=data&version=1672637316|LEAP4000XHR_5068|201117_C153_Marcus40:M-2|http://www.w3.org/ns/prov#Entity|2023-01-04T11:32:37.686305Z|https://purl.org/coscine/resources/0406b5cc-68af-4247-a4cd-37c84ba63d0c/R68_06307-v01-clip300-400nm_20x20nm_BulkComp.csv/@type=metadata&version=1672745159
0406B5CC-68AF-4247-A4CD-37C84BA63D0C|RDS|https://purl.org/coscine/resources/0406b5cc-68af-4247-a4cd-37c84ba63d0c/R68_06307-v01-clip300-400nm_20x20nm_Ca-iso5%25.BMP/@type=metadata&version=1672831957|25.7|||0.79 nA / 1.5 μm0.43 nA / 0.75 μm0.23 nA / 0.5 μm80 pA / 0.3 μm40 pA / 0.1 μm|30||0.5|60|Surface lift-out from 10x10 mm sample in the center10x2x0.35 μm Pt protection layer14x4x4 μm Trench Milling (2x)|5 kV / 20 s|2021-07-02|Laser|Marcus Hans|Thin film sample e117_P16 (Philipp Keuter), Mg-Al-Ca, 100°C (2020-09-02)||125|736|9|10|1.2|4.1|2020-11-17|Marcus Hans|R68_06307-v02|||||https://purl.org/coscine/resources/0406b5cc-68af-4247-a4cd-37c84ba63d0c/R68_06307-v01-clip300-400nm_20x20nm_Ca-iso5%25.BMP/@type=data&version=1672637316|LEAP4000XHR_5068|201117_C153_Marcus40:M-2|http://www.w3.org/ns/prov#Entity|2023-01-04T11:32:38.164974Z|https://purl.org/coscine/resources/0406b5cc-68af-4247-a4cd-37c84ba63d0c/R68_06307-v01-clip300-400nm_20x20nm_Ca-iso5%25.BMP/@type=metadata&version=1672745159
0406B5CC-68AF-4247-A4CD-37C84BA63D0C|RDS|https://purl.org/coscine/resources/0406b5cc-68af-4247-a4cd-37c84ba63d0c/R68_06307-v01-clip300-400nm_20x20nm_Ca.BMP/@type=metadata&version=1672831958|25.7|||0.79 nA / 1.5 μm0.43 nA / 0.75 μm0.23 nA / 0.5 μm80 pA / 0.3 μm40 pA / 0.1 μm|30||0.5|60|Surface lift-out from 10x10 mm sample in the center10x2x0.35 μm Pt protection layer14x4x4 μm Trench Milling (2x)|5 kV / 20 s|2021-07-02|Laser|Marcus Hans|Thin film sample e117_P16 (Philipp Keuter), Mg-Al-Ca, 100°C (2020-09-02)||125|736|9|10|1.2|4.1|2020-11-17|Marcus Hans|R68_06307-v02|||||https://purl.org/coscine/resources/0406b5cc-68af-4247-a4cd-37c84ba63d0c/R68_06307-v01-clip300-400nm_20x20nm_Ca.BMP/@type=data&version=1672637316|LEAP4000XHR_5068|201117_C153_Marcus40:M-2|http://www.w3.org/ns/prov#Entity|2023-01-04T11:32:38.648612Z|https://purl.org/coscine/resources/0406b5cc-68af-4247-a4cd-37c84ba63d0c/R68_06307-v01-clip300-400nm_20x20nm_Ca.BMP/@type=metadata&version=1672745160
0406B5CC-68AF-4247-A4CD-37C84BA63D0C|RDS|https://purl.org/coscine/resources/0406b5cc-68af-4247-a4cd-37c84ba63d0c/R68_06307-v01-clip300-400nm_20x20nm_CaH.BMP/@type=metadata&version=1672831958|25.7|||0.79 nA / 1.5 μm0.43 nA / 0.75 μm0.23 nA / 0.5 μm80 pA / 0.3 μm40 pA / 0.1 μm|30||0.5|60|Surface lift-out from 10x10 mm sample in the center10x2x0.35 μm Pt protection layer14x4x4 μm Trench Milling (2x)|5 kV / 20 s|2021-07-02|Laser|Marcus Hans|Thin film sample e117_P16 (Philipp Keuter), Mg-Al-Ca, 100°C (2020-09-02)||125|736|9|10|1.2|4.1|2020-11-17|Marcus Hans|R68_06307-v02|||||https://purl.org/coscine/resources/0406b5cc-68af-4247-a4cd-37c84ba63d0c/R68_06307-v01-clip300-400nm_20x20nm_CaH.BMP/@type=data&version=1672637316|LEAP4000XHR_5068|201117_C153_Marcus40:M-2|http://www.w3.org/ns/prov#Entity|2023-01-04T11:32:39.145804Z|https://purl.org/coscine/resources/0406b5cc-68af-4247-a4cd-37c84ba63d0c/R68_06307-v01-clip300-400nm_20x20nm_CaH.BMP/@type=metadata&version=1672745160
0406B5CC-68AF-4247-A4CD-37C84BA63D0C|RDS|https://purl.org/coscine/resources/0406b5cc-68af-4247-a4cd-37c84ba63d0c/R68_06307-v01-clip300-400nm_20x20nm_Ga.BMP/@type=metadata&version=1672831959|25.7|||0.79 nA / 1.5 μm0.43 nA / 0.75 μm0.23 nA / 0.5 μm80 pA / 0.3 μm40 pA / 0.1 μm|30||0.5|60|Surface lift-out from 10x10 mm sample in the center10x2x0.35 μm Pt protection layer14x4x4 μm Trench Milling (2x)|5 kV / 20 s|2021-07-02|Laser|Marcus Hans|Thin film sample e117_P16 (Philipp Keuter), Mg-Al-Ca, 100°C (2020-09-02)||125|736|9|10|1.2|4.1|2020-11-17|Marcus Hans|R68_06307-v02|||||https://purl.org/coscine/resources/0406b5cc-68af-4247-a4cd-37c84ba63d0c/R68_06307-v01-clip300-400nm_20x20nm_Ga.BMP/@type=data&version=1672637317|LEAP4000XHR_5068|201117_C153_Marcus40:M-2|http://www.w3.org/ns/prov#Entity|2023-01-04T11:32:39.631907Z|https://purl.org/coscine/resources/0406b5cc-68af-4247-a4cd-37c84ba63d0c/R68_06307-v01-clip300-400nm_20x20nm_Ga.BMP/@type=metadata&version=1672745161
0406B5CC-68AF-4247-A4CD-37C84BA63D0C|RDS|https://purl.org/coscine/resources/0406b5cc-68af-4247-a4cd-37c84ba63d0c/R68_06307-v01-clip300-400nm_20x20nm_MassSpec.csv/@type=metadata&version=1672831959|25.7|||0.79 nA / 1.5 μm0.43 nA / 0.75 μm0.23 nA / 0.5 μm80 pA / 0.3 μm40 pA / 0.1 μm|30||0.5|60|Surface lift-out from 10x10 mm sample in the center10x2x0.35 μm Pt protection layer14x4x4 μm Trench Milling (2x)|5 kV / 20 s|2021-07-02|Laser|Marcus Hans|Thin film sample e117_P16 (Philipp Keuter), Mg-Al-Ca, 100°C (2020-09-02)||125|736|9|10|1.2|4.1|2020-11-17|Marcus Hans|R68_06307-v02|||||https://purl.org/coscine/resources/0406b5cc-68af-4247-a4cd-37c84ba63d0c/R68_06307-v01-clip300-400nm_20x20nm_MassSpec.csv/@type=data&version=1672637317|LEAP4000XHR_5068|201117_C153_Marcus40:M-2|http://www.w3.org/ns/prov#Entity|2023-01-04T11:32:40.108579Z|https://purl.org/coscine/resources/0406b5cc-68af-4247-a4cd-37c84ba63d0c/R68_06307-v01-clip300-400nm_20x20nm_MassSpec.csv/@type=metadata&version=1672745161
0406B5CC-68AF-4247-A4CD-37C84BA63D0C|RDS|https://purl.org/coscine/resources/0406b5cc-68af-4247-a4cd-37c84ba63d0c/R68_06307-v01-clip300-400nm_20x20nm_Mg200k.BMP/@type=metadata&version=1672831960|25.7|||0.79 nA / 1.5 μm0.43 nA / 0.75 μm0.23 nA / 0.5 μm80 pA / 0.3 μm40 pA / 0.1 μm|30||0.5|60|Surface lift-out from 10x10 mm sample in the center10x2x0.35 μm Pt protection layer14x4x4 μm Trench Milling (2x)|5 kV / 20 s|2021-07-02|Laser|Marcus Hans|Thin film sample e117_P16 (Philipp Keuter), Mg-Al-Ca, 100°C (2020-09-02)||125|736|9|10|1.2|4.1|2020-11-17|Marcus Hans|R68_06307-v02|||||https://purl.org/coscine/resources/0406b5cc-68af-4247-a4cd-37c84ba63d0c/R68_06307-v01-clip300-400nm_20x20nm_Mg200k.BMP/@type=data&version=1672637317|LEAP4000XHR_5068|201117_C153_Marcus40:M-2|http://www.w3.org/ns/prov#Entity|2023-01-04T11:32:40.594963Z|https://purl.org/coscine/resources/0406b5cc-68af-4247-a4cd-37c84ba63d0c/R68_06307-v01-clip300-400nm_20x20nm_Mg200k.BMP/@type=metadata&version=1672745162
